playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
15594,Nick Wittgren,999.0,,,0.0,23.2311,0.345102,1.21277,,24.2372,105.64,25.4272,14.4137,13.2606,3.48469,18.1775,8.04252,1.88243
21858,Riley Pint,999.0,COL,Rockies,0.0,19.5553,0.0,1.78924,,15.9307,76.4655,15.7164,10.3901,9.55889,1.67661,16.2416,13.4864,1.06375
22915,Carlos Vargas,999.0,SEA,Mariners,0.0,28.2266,0.0,1.48543,,29.0826,129.523,28.4698,14.6066,13.4381,3.39658,27.9401,14.1241,2.58974
17117,Austin Davis,999.0,,,0.290928,6.42634,0.0,0.337829,,7.65535,35.3784,6.72677,5.25873,4.83803,0.978695,7.26751,5.65186,0.461644
19926,Tony Santillan,999.0,CIN,Reds,0.110136,23.9304,0.0802357,2.44801,,24.9597,114.702,24.8136,15.4449,14.2093,3.56647,25.7068,15.8309,1.67414
7115,Daniel Bard,735.219970703125,COL,Rockies,0.0,51.0883,2.17715,8.53348,,52.4246,242.105,48.8445,30.7076,28.2509,6.26831,52.1578,36.5704,4.65837
19278,Vladimir Gutierrez,999.0,,,3.06305,7.75852,0.0,0.0,,19.2081,87.8709,21.7497,13.9388,12.8237,3.97131,13.9258,8.99531,1.42227
20277,Cory Abbott,999.0,,,1.56884,12.2324,0.0,0.717248,,22.593,100.746,22.0728,14.3342,13.1875,4.38496,22.9087,11.7359,1.41773
13707,Joey Krehbiel,999.0,SEA,Mariners,0.0,7.85806,0.000264617,0.876716,,8.13844,35.9437,7.97109,4.75327,4.37301,1.34347,6.62485,4.09921,0.271929
10547,Jimmy Nelson,999.0,,,0.0,20.0259,0.0,0.0,,20.8256,93.9065,19.1622,13.3373,12.2704,3.04403,23.0859,12.629,1.72098
20190,Chad Smith,999.0,NYM,Mets,0.0,11.4622,0.0,0.509009,,13.9959,65.308,14.5472,8.50326,7.823,1.65057,12.8386,8.99951,1.17326
11589,José Ureña,999.0,TEX,Rangers,1.98377,19.3172,0.0,1.09435,,27.7758,123.685,30.932,17.3446,15.957,4.67873,20.5924,11.2547,0.948547
sa917966,Sean Reynolds,999.0,SDP,Padres,0.0,20.549,0.0,1.3318,,21.1175,94.2686,19.6481,13.011,11.9701,2.91189,20.0292,12.2039,1.17599
18356,Jaime Barria,999.0,CLE,Guardians,1.00048,19.1848,0.0,0.922282,,31.7091,136.279,33.546,18.4654,16.9881,5.58374,23.5167,9.61543,1.16131
16466,Brent Honeywell,999.0,,,0.113601,14.971,0.0,1.88085,,19.8208,86.1829,19.6878,11.8708,10.9211,3.36216,16.9487,7.87462,1.14008
15444,Zack Weiss,999.0,MIN,Twins,0.0,22.4923,0.0,1.18113,,24.01,108.005,24.279,14.0838,12.9571,3.98095,25.2316,12.8301,1.26742
18674,Jake Woodford,999.0,,,1.46633,27.2104,0.0,1.28941,,34.4199,151.13,36.3861,19.8732,18.2833,4.98431,25.3167,13.0663,1.86004
17948,Trent Thornton,999.0,SEA,Mariners,0.373012,44.8737,0.141479,7.89532,,52.7571,227.386,52.7196,25.8153,23.7501,8.06714,45.7123,19.8585,1.81252
13528,Matt Bowman,999.0,,,0.0,21.5563,0.0,2.5352,,22.1257,97.7383,23.4541,13.0126,11.9716,3.23445,18.3332,9.30294,0.816573
10430,Mychal Givens,999.0,,,0.000992319,37.2221,1.41293,5.82912,,34.7207,153.087,32.352,18.9245,17.4105,4.89837,34.7645,16.7582,3.28718
21866,Jordan Balazovic,999.0,,,0.0,31.6247,0.0,2.01773,,37.6904,167.641,38.6017,20.7752,19.1132,4.94277,33.8131,18.3798,1.35745
25097,Garrett Hill,999.0,DET,Tigers,0.486477,17.3789,0.19249,1.52476,,20.9888,94.3075,20.9555,12.2317,11.2531,2.8622,19.2696,11.1182,1.36618
19268,Justin Dunn,999.0,,,4.71164,4.71164,0.0,0.0,,22.8142,101.469,22.1734,15.1156,13.9064,4.76949,18.032,11.578,1.5563
25636,Hunter Gaddis,999.0,CLE,Guardians,2.66603,16.2079,0.0,0.951376,,32.1466,140.844,34.0415,20.2126,18.5956,6.30695,24.6221,11.6237,1.95348
21023,Adrián Martínez,999.0,OAK,Athletics,1.27394,33.3218,0.0,1.86266,,43.8708,193.24,47.3208,25.1815,23.167,6.39767,36.0685,16.0711,2.62321
19407,Ronel Blanco,999.0,HOU,Astros,1.42799,41.3301,0.042104,6.02675,,51.0422,221.54,47.2804,27.3105,25.1257,8.1959,52.8514,23.6614,2.57589
16631,Jeff Brigham,999.0,,,0.0,29.8142,0.00320927,3.7066,,31.652,135.476,26.8505,18.4923,17.0129,5.69488,34.5934,14.6384,2.19666
13763,Dominic Leone,999.0,,,0.201529,49.7383,0.674711,3.73335,,50.7004,219.037,47.6303,26.6904,24.5552,8.07694,51.1665,22.6003,1.77513
23449,Ricky Karcher,999.0,ARI,Diamondbacks,0.0,13.9255,0.291023,0.0,,15.7095,73.3751,12.0818,9.97584,9.17777,1.56465,16.4429,14.9362,0.799651
