playerid,PlayerName,minpos,ADP,Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS
15676,José Abreu,1B,286.3900146484375,HOU,Astros,138.503,524.993,586.868,135.471,90.781,26.2261,0.981973,17.4822,68.2708,81.8522,47.8722,1.00065,120.731,8.99991,4.71726,0.286092,0.301919,0.0788208
20308,Jake Meyers,OF,601.9000244140625,HOU,Astros,98.9532,315.933,349.86,74.068,48.0572,15.0441,1.888,9.07876,38.5145,36.2387,25.1968,0.0,92.8641,4.92143,2.19837,1.61064,6.0166,1.74439
11615,Brandon Drury,2B/3B,230.25999450683594,LAA,Angels,126.635,481.404,521.927,122.6,71.2705,25.8649,2.15999,23.3045,66.7646,76.0887,30.084,0.0,129.437,6.60496,3.56683,0.267499,1.72337,1.03998
22558,Jarred Kelenic,OF,222.47999572753906,ATL,Braves,127.273,450.35,505.806,109.544,63.8577,26.553,2.0526,17.0803,61.8783,63.5856,47.5746,2.56314,142.121,3.69531,3.16348,1.02272,14.4675,5.12933
22505,Buddy Kennedy,2B,999.0,STL,Cardinals,18.5804,51.4982,59.8877,11.8431,9.25597,2.16692,0.0632567,0.35693,6.82029,5.10591,6.41346,0.0,12.8342,1.38521,0.590829,0.0,0.271035,0.0447179
19997,Santiago Espinal,2B/3B,733.260009765625,TOR,Blue Jays,87.6958,275.948,304.216,73.6521,53.6246,15.7024,0.614045,3.71113,32.7935,30.2121,22.3625,0.743263,43.1517,2.53744,1.80953,1.55837,4.17197,1.86028
7739,Travis d'Arnaud,C,377.3500061035156,ATL,Braves,81.9463,297.562,325.626,72.5659,44.752,14.9802,0.808923,12.0248,38.3265,43.7816,21.0623,0.0,74.1793,4.91467,1.80143,0.285303,0.346665,0.0
9241,Starling Marte,OF,227.35000610351562,NYM,Mets,113.308,429.057,471.333,112.674,79.9044,18.9001,2.5723,11.2973,57.0961,49.3074,29.088,0.782573,93.388,9.71135,2.10467,1.37231,25.0678,6.02557
15274,Mike Tauchman,OF,621.4199829101562,CHC,Cubs,88.8219,296.412,346.924,71.7361,47.9254,15.65,0.989527,7.17114,46.9499,34.8818,43.0658,0.653278,81.5657,3.40551,2.07787,1.96366,5.8726,1.62484
10028,Christian Bethancourt,C,473.8699951171875,MIA,Marlins,76.8666,257.28,274.384,61.7819,40.0554,12.7651,0.224893,8.73651,31.4997,29.7397,12.3962,0.0,68.0111,1.6737,1.77027,1.26373,1.81794,0.779766
18795,Ramón Urías,3B,710.6099853515625,BAL,Orioles,77.4136,262.327,290.357,65.8936,45.4384,13.0155,1.26397,6.17573,31.9488,30.6839,20.989,0.0723261,70.5033,4.33112,1.66922,1.04055,2.07105,0.898746
17901,Andrew Benintendi,OF,373.2900085449219,CHW,White Sox,136.069,516.582,576.325,138.07,100.203,27.9624,2.08468,7.82031,68.3181,49.0469,50.1273,2.24904,89.473,3.40198,4.14734,2.06692,10.4822,3.7857
13621,Jeimer Candelario,3B,215.2899932861328,CIN,Reds,130.579,479.023,539.489,119.195,68.8246,29.0149,2.38547,18.9697,67.5881,69.3479,48.262,0.787765,124.325,8.40314,3.52058,0.279508,4.91182,1.64197
22542,Lawrence Butler,OF,608.8699951171875,OAK,Athletics,85.8725,288.93,315.887,68.3856,43.5838,14.2451,0.90147,9.65531,32.2231,33.6042,21.994,0.48515,80.37,1.85598,2.0969,1.00989,6.64885,1.75548
19913,Jesús Sánchez,OF,378.19000244140625,MIA,Marlins,121.959,412.146,458.864,102.469,61.5366,19.8266,3.07688,18.0284,51.6481,57.5313,39.8083,1.05387,120.675,3.78304,2.20866,0.917973,3.41459,1.03169
13145,Josh Bell,1B,281.739990234375,MIA,Marlins,142.023,519.93,593.716,132.869,84.8873,25.4966,1.12193,21.363,70.7472,73.5829,65.1907,1.99836,116.496,3.66545,4.071,0.858903,0.438152,0.869087
13620,Carson Kelly,C,682.8099975585938,DET,Tigers,72.7544,225.591,254.345,50.8149,34.1074,10.4458,0.616423,5.6453,23.9166,24.7248,23.1069,0.0494718,57.6463,2.65788,2.33589,0.653061,1.61465,0.949896
15464,Hunter Renfroe,OF,373.1300048828125,KCR,Royals,116.024,430.078,473.748,106.461,61.9917,23.6526,0.87738,19.9397,56.3366,61.9849,36.617,0.100815,105.966,3.07419,3.24343,0.735838,0.812457,0.0661584
17128,Ramón Laureano,OF,448.4200134277344,CLE,Guardians,105.514,391.078,437.661,89.2209,54.6057,19.8806,2.22859,12.506,49.7523,44.9362,33.8945,0.322566,119.013,10.2272,1.97888,0.481603,12.9693,3.62827
20505,Drew Waters,OF,404.6099853515625,KCR,Royals,95.0826,310.58,346.866,73.815,45.6103,14.8927,3.60782,9.70417,40.4475,35.5669,29.4495,0.0,107.283,3.66057,2.20863,0.967354,13.4831,3.78578
9774,Christian Vázquez,C,536.2899780273438,MIN,Twins,81.5229,276.416,300.243,68.2345,49.2717,13.0488,0.13837,5.77566,29.3786,30.5218,19.2648,0.206631,60.1187,1.87033,1.77031,0.920707,1.68112,0.92711
21614,Kyle Isbel,OF,541.260009765625,KCR,Royals,102.356,337.455,369.41,82.2159,51.3882,19.4216,2.55336,8.85281,45.7051,38.3069,25.1844,0.0,78.3247,2.85005,2.53546,1.38507,10.3729,3.30948
21622,Jake McCarthy,OF,371.7099914550781,ARI,Diamondbacks,99.2295,322.161,361.157,83.2446,58.7727,14.4043,4.0742,5.99335,43.2661,33.2095,28.0841,0.0,74.6087,5.53295,1.86539,3.51319,26.3223,5.3378
16376,Michael Conforto,OF,402.4200134277344,SFG,Giants,121.165,423.858,489.031,104.22,68.4026,19.488,0.758724,15.5707,56.5089,58.7091,53.1022,3.02264,109.762,7.79045,3.57695,0.703063,3.65528,0.866197
5933,Jean Segura,2B/SS,748.3900146484375,CLE,Guardians,78.1511,281.987,309.622,74.4126,54.6456,11.9864,1.68724,6.09339,32.843,29.3566,21.1764,0.792873,46.5174,4.02391,1.54391,0.891122,6.80006,2.57401
sa3019868,Jakob Marsee,OF,999.0,SDP,Padres,55.7873,189.786,222.992,44.3276,28.2018,8.51682,0.733109,6.87591,28.0098,19.2523,27.4946,0.0,52.5388,2.43539,1.66369,1.61131,7.88236,2.10919
23401,José Caballero,2B,456.6499938964844,TBR,Rays,88.9452,244.965,289.628,55.6438,38.5521,11.3747,1.19038,4.5267,34.955,27.2825,32.4316,0.0,67.6408,8.47087,2.73796,1.02275,22.5765,4.69335
12979,Javier Báez,2B/SS,401.1300048828125,DET,Tigers,130.367,486.617,523.962,115.952,77.3679,21.8694,3.08646,13.6286,55.7816,59.3134,24.8664,0.412711,130.494,8.00663,3.50373,0.968142,10.7103,2.71485
10264,Brandon Belt,1B,568.1900024414062,,,83.5595,281.692,333.012,65.4662,37.1157,12.7275,0.836312,14.7868,42.1382,38.2131,45.0595,0.935628,104.169,3.96531,1.82799,0.466737,0.806429,0.535255
sa3014474,Colt Keith,2B/3B,999.0,DET,Tigers,66.7335,239.259,267.258,62.8249,40.1254,13.6428,1.2274,7.82929,29.8908,32.5625,22.6383,0.472108,59.3325,1.80769,1.98888,1.56484,1.95888,0.627698
sa3017623,Tyler Black,2B/3B,999.0,MIL,Brewers,83.2262,284.763,333.057,68.4394,42.9909,14.1092,3.0747,8.26459,39.9382,34.7604,39.0662,0.592007,74.6287,4.7607,2.50445,1.96259,15.5606,4.99846
2967,Tommy Pham,OF,293.2300109863281,,,117.564,418.335,473.84,102.76,65.9109,20.2765,1.81694,14.7555,59.3245,55.4213,47.1606,0.750413,112.011,3.8632,3.98246,0.498636,14.2848,3.68228
4940,Jason Heyward,OF,534.3200073242188,LAD,Dodgers,100.306,320.072,357.293,79.8386,51.1689,16.6885,0.961733,11.0194,43.2624,39.3778,30.2945,0.673473,66.7906,4.06735,2.02103,0.837521,2.72127,0.944429
21538,Nick Fortes,C,507.260009765625,MIA,Marlins,88.6779,275.362,304.036,63.1718,42.8197,11.5551,0.717416,8.07957,32.5186,29.4088,19.9029,0.0,55.4907,5.72346,1.62428,1.42331,4.52879,1.88234
11737,Nick Castellanos,3B/OF,113.94000244140625,PHI,Phillies,146.154,578.468,623.901,152.724,93.9896,32.9375,1.75161,24.0457,75.563,89.0672,36.2066,0.749568,159.153,4.28086,4.65764,0.288377,7.92717,2.5296
13499,Tom Murphy,C,506.67999267578125,SFG,Giants,60.9232,193.599,217.928,48.2735,30.3835,9.2228,0.416329,8.2509,24.0603,24.0529,20.4107,0.0,61.1295,1.83218,1.63578,0.45046,0.469373,0.496092
18819,Andy Ibáñez,2B,644.5800170898438,DET,Tigers,68.6211,232.837,254.656,60.2917,39.3568,13.4067,1.08797,6.44024,27.4429,27.2181,17.6998,0.0,44.2559,2.0193,1.41452,0.685189,2.04765,0.937615
8709,Elvis Andrus,SS,687.6099853515625,,,82.6461,290.451,315.591,72.5866,50.6117,15.0947,1.0004,5.87971,34.2914,31.7206,19.5664,0.267759,52.8965,2.84463,1.59265,1.13563,9.07521,2.22171
17620,Myles Straw,OF,659.7100219726562,CLE,Guardians,121.835,410.684,459.701,100.154,76.6798,19.5622,2.21385,1.69826,46.9384,31.8128,40.1424,0.0,81.2286,2.13768,3.7871,2.949,18.7869,4.37882
19252,Cavan Biggio,2B,458.54998779296875,TOR,Blue Jays,100.439,312.402,365.01,71.486,46.4114,15.3624,0.821597,8.89059,45.6459,38.4098,43.9199,0.166614,95.6072,5.0116,2.70036,0.976909,4.89282,1.47508
16512,Isiah Kiner-Falefa,SS,543.1599731445312,TOR,Blue Jays,90.0184,309.064,338.924,80.4529,60.4639,14.4757,1.01094,4.50238,35.7902,32.1737,21.9639,0.207092,56.0989,4.03412,2.59016,1.27147,13.0719,4.05608
11680,Elias Díaz,C,259.1600036621094,COL,Rockies,114.806,402.238,437.87,101.726,68.0864,20.4571,1.08279,12.0999,43.382,52.7218,29.0427,0.079337,94.2445,2.57907,3.27198,0.737898,1.02575,0.0917721
22168,Akil Baddoo,OF,653.3200073242188,DET,Tigers,89.2829,285.714,325.097,67.1089,44.0302,12.8738,1.92976,8.27523,38.6551,31.3058,35.4381,0.9424,81.2902,1.25767,1.5303,1.15652,12.7072,4.14608
11442,Gary Sánchez,C,430.6499938964844,,,69.2171,227.947,257.615,49.1026,26.8347,9.29354,0.0,12.9744,29.18,35.0203,23.6444,0.119033,69.1046,3.56461,2.01467,0.444345,0.537704,0.512107
26319,Michael Busch,3B/DH,428.5199890136719,CHC,Cubs,103.852,349.294,396.467,82.7741,49.7615,17.7228,1.40431,13.8855,45.9694,46.7555,37.9768,0.0,110.84,4.80564,3.31716,1.07381,3.03291,0.833776
11368,Yasmani Grandal,C,672.1900024414062,,,70.8942,226.172,263.644,52.0351,35.9028,8.9993,0.0,7.13297,25.9323,26.3116,32.5087,0.229156,56.6146,2.46074,1.96558,0.536946,0.559295,0.0
15223,Adam Frazier,2B,683.7100219726562,,,96.4,324.161,358.759,83.4018,59.5304,16.7522,1.7165,5.40257,41.6223,35.8326,25.8551,0.141484,49.5178,3.97729,2.33812,2.42775,7.65213,3.16164
16153,Austin Slater,OF,750.1900024414062,SFG,Giants,86.6248,242.347,275.67,61.2062,40.9468,11.7813,1.11839,7.35966,33.7243,28.3385,27.9934,0.11793,76.4108,3.55259,1.24258,0.535088,7.07896,1.66253
20178,Miguel Vargas,2B,439.3500061035156,LAD,Dodgers,57.7629,193.511,222.794,47.7384,30.5432,10.1665,0.669717,6.35905,27.9582,26.2022,23.6055,0.197975,45.0713,2.82157,2.60972,0.245708,3.70313,0.393233
11281,Whit Merrifield,2B/OF,260.54998779296875,,,118.698,444.605,482.354,115.96,83.0403,23.1954,0.931993,8.79257,56.1829,49.2355,29.4161,0.813562,79.6907,2.53105,4.96944,0.831954,19.1606,5.37195
