ID,Salary
*03ql5*,30
*02mwq*,30
*02n2x*,13
*025ew*,30
*02n4s*,30
*0596g*,30
*0005k*,30
*04a2t*,30
*0403o*,26
*02mwv*,10
*02iug*,30
*04k0w*,30
*02xih*,30
*041q4*,30
*041yb*,30
*03nqc*,30
*03qqf*,30
*02but*,25
*0513y*,30
*031c2*,24
*05t64*,30
*02bwr*,30
*02n5v*,30
*03djk*,30
*03mul*,5
*03sef*,16
*0008c*,30
*02bx4*,25
*03ppa*,30
*03qto*,30
*02hir*,30
*04ali*,30
*04pko*,30
*0311b*,30
*04yid*,30
*01cg1*,30
*05gef*,30
*03d75*,30
*02n3l*,4
*04apj*,30
*02zoa*,30
*03h90*,21
*031bl*,22
*01scl*,8
*02h8d*,30
*0314j*,30
*04ptt*,12
*02hy2*,17
*01sev*,30
*04aqc*,10
*041z3*,30
*04cd5*,30
*025ej*,30
*04t40*,30
*04eld*,30
*02jhl*,30
*041x9*,30
*04225*,30
*025l2*,26
*04pq4*,30
*0374m*,13
*04egq*,30
*04g1x*,30
*02i4x*,30
*03am2*,30
*03dfa*,30
*03bam*,30
*0421j*,30
*041e3*,30
*04ew7*,30
*025dj*,30
*03p9d*,30
*02brf*,30
*02hfr*,30
*03qo0*,17
*03yui*,20
*01sgi*,30
*02z0e*,30
*04ejp*,21
*0473n*,14
*03dap*,30
*01vxp*,22
*04674*,30
*02hhd*,14
*005m0*,30
*03dgs*,30
*03178*,30
*03xmd*,30
*021jb*,30
*0425t*,14
*02mwd*,30
*01fug*,30
*02n0v*,30
*01sik*,30
*02bqd*,30
*02bqj*,20
*0484h*,30
*031cy*,27
*04tlv*,30
*03ql8*,30
*04eiw*,30
*03ysq*,30
*02cch*,30
*03i81*,30
*031d9*,16
*03drc*,18
*0317q*,30
*04coa*,30
*041w4*,30
*0511r*,30
*03dbu*,30
*01s9a*,30
*02hgr*,14
*04aok*,11
*03djb*,30
*041m1*,24
*041md*,30
*030x2*,30
*02c47*,30
*03db4*,11
*0514f*,30
*0321h*,30
*03as0*,30
*01t04*,30
*03mnq*,30
*02j77*,30
*03qln*,30
*041wv*,24
*02han*,23
*02mz1*,30
*02hq8*,18
*0423i*,30
*043x7*,30
*041py*,30
*04eon*,30
*02mw1*,30
*03aaa*,30
*03mle*,30
*041me*,11
*05jp9*,30
*01cyw*,10
*04q05*,21
*02of2*,30
*03qwa*,30
*05a07*,30
*03109*,30
*04auk*,30
*03zbj*,23
*02iya*,21
*04efn*,30
*02hhj*,20
*02j6w*,30
*05r01*,19
*03vcw*,25
*02hc5*,30
*02i45*,30
*03r06*,30
*05133*,30
*041vm*,30
*03aqz*,30
*02c2m*,30
*02brc*,30
*02nc0*,30
*05138*,30
*03zo6*,30
*0376h*,30
*03c97*,30
*02mwx*,30
*041r9*,30
*041m9*,30
*03yso*,30
*01gya*,3
*021iu*,30
*021sx*,30
*041m4*,30
*02bq7*,30
*031dd*,28
*04em6*,30
*0429m*,30
*04j1w*,30
*03f26*,30
*041tl*,30
*03btm*,30
*04aoq*,30
*047sh*,30
*01sex*,30
*03ry2*,30
*04ee7*,30
*04psv*,30
*02nax*,30
*02yxb*,30
*02mxi*,30
*040cf*,30
*03poq*,30
*04psq*,30
*03ani*,30
*03cav*,30
*04ek8*,30
*0429q*,30
*01h4f*,30
*0512a*,30
*03y4y*,30
*043r7*,30
*0260w*,10
*0512m*,30
*046yd*,30
*03qkc*,30
*028is*,30
*04n0p*,30
*03duu*,30
*02mw7*,14
*05t6u*,30
*03pol*,30
*02n8k*,30
*041wc*,30
*04eku*,30
*03pp2*,18
*0310c*,30
*02ccf*,30
*0316l*,30
*000y3*,25
*0316r*,30
*04022*,30
*01fd0*,17
*0351m*,30
*01ucb*,27
*01sve*,30
*02mx4*,30
*02myt*,30
*04sxl*,30
*0241r*,28
*041s7*,30
*03yx9*,30
*04k22*,30
*04ywk*,23
*02i3x*,30
*03dim*,16
*02c5l*,30
*04mlx*,30
*0421l*,30
*041vf*,30
*05gsw*,30
*03zu0*,30
*03aru*,30
*03qjz*,30
*0311r*,30
*02n7z*,30
*03qmm*,30
*04k0x*,30
*059zc*,30
*03dv0*,30
*03mgq*,30
*04ps8*,30
*04erc*,30
*03pdy*,30
*04ata*,19
*055ca*,30
*031k3*,30
*04egl*,30
*04pmb*,30
*0420n*,30
*061mp*,30
*04aeh*,30
*05r9c*,30
*03ann*,30
*02oyz*,30
*04egr*,30
*03xy4*,30
*02n6j*,30
*02yek*,30
*04pmm*,30
*05rcp*,30
*03qq9*,30
*03dpn*,30
*04ei1*,30
*03yxa*,30
*03dau*,30
*03qv3*,30
*041m0*,30
*04pqs*,30
*060ml*,30
*02hdy*,30
*03aqj*,30
*05y17*,30
*04pma*,30
*04pxf*,30
*043ia*,30
*05xsq*,30
*03qpg*,30
*03pp9*,30
*03to4*,30
*04fq2*,30
*03ded*,30
*04pwx*,30
*05u3c*,30
*03qxr*,30
*04ep8*,30
*041w0*,30
*02jmi*,30
*04eek*,30
*03deo*,30
*03de5*,30
*061jc*,30
*0429k*,30
*03quj*,30
*041rn*,30
*03116*,30
*0420t*,30
*05y18*,30
*030vs*,28
*02bru*,30
*03nqg*,30
*02nbw*,30
*0440n*,30
*05tux*,30
*05ym7*,30
*043pf*,30
*02ob9*,30
*04ddz*,30
*031fj*,30
*03aqt*,30
*04ege*,30
*04pmk*,30
*03doq*,30
*03qm3*,30
*03dec*,30
*03qxs*,30
*052c8*,30
*03dpg*,30
*04eip*,30
*025em*,30
*0429h*,30
*02n8l*,30
*03dbv*,30
*05rfn*,30
*0422w*,30
*02f9m*,30
*04eg4*,30
*051dv*,30
*04q1w*,30
*041so*,30
*04psd*,30
*04eec*,30
*04prq*,30
*051bm*,30
*041rp*,30
*03drx*,30
*05r1z*,30
*04ehz*,30
*041ze*,30
*05a06*,30
*041uj*,30
*02yxi*,30
*066pb*,30
*0313t*,30
*04eny*,30
*04pym*,30
*04efe*,30
*04pva*,30
*05ajh*,23
*03dfo*,30
*04pqk*,30
*04n0k*,30
*04220*,30
*02hi5*,30
*03ym6*,30
*03ywk*,30
*02mwt*,30
*0310j*,30
*04pre*,30
*041ma*,30
*03c63*,30
*0429o*,30
*03qlb*,30
*03dne*,30
*04k4u*,30
*01cdo*,19
*051hf*,30
*03fi1*,30
*04eru*,30
*03dsa*,30
*04rzp*,30
*05rd5*,30
*04py3*,30
*05xsm*,30
*0514j*,30
*03qju*,30
*04tji*,30
*04afj*,30
*03d7m*,30
*04ggi*,10
*050ok*,30
*041pr*,30
*03dbs*,30
*031ev*,30
*04qot*,30
*04elu*,30
*04pqg*,30
*051c3*,30
*04ep2*,30
*0421q*,30
*05uk1*,30
*03dnu*,30
*025ey*,30
*05rk4*,30
*041m3*,30
*0318i*,30
*04nx1*,30
*04efr*,30
*0614f*,30
*02hqe*,30
*04etg*,30
*041rr*,30
*05aoc*,30
*04al9*,30
*03qne*,21
*02xik*,15
*05xze*,30
*02myh*,30
*03qx9*,30
*05qzx*,30
*04pmp*,30
*04pxq*,30
*0374o*,30
*04pr8*,30
*0511g*,30
*04mlf*,20
*050vn*,30
*03pp7*,26
*045gt*,30
*04s1h*,30
*04pwm*,30
*04pps*,30
*04paj*,30
*04y9o*,30
*05g4k*,30
*000fh*,30
*01cfu*,30
*01skd*,30
*026qh*,30
*02i63*,30
*04cwf*,30
*02hdd*,30
*0423e*,30
*024ms*,30
*03aac*,2
*024mt*,30
*01sy6*,30
*04eso*,30
*0511v*,30
*050if*,30
*013u9*,30
*02hjg*,30
*02ht3*,30
*031gu*,30
*03pik*,30
*03cb5*,30
*04eu3*,30
*024nk*,30
*05yft*,30
*024b5*,30
*02z0b*,30
*03qs8*,30
*01cfx*,30
*03c81*,30
*04ya2*,30
*02757*,30
*02bs6*,30
*02mxu*,30
*004fb*,30
*004hr*,30
*04ei8*,30
*023s4*,30
*03mmw*,30
*0510l*,30
*02bx5*,30
*02hkp*,30
*01zz8*,30
*03zlc*,30
*01sas*,30
*02nef*,30
*01olv*,30
*04ppz*,30
*041pp*,30
*05rb0*,30
*02bwl*,30
*02myn*,30
*03zuu*,30
*01fcp*,30
*01vxo*,30
*03h52*,30
*000w2*,30
*059qm*,30
*03ca0*,30
*01skk*,30
*05t6o*,30
*04mlc*,30
*04aoz*,30
*04zol*,30
*01iz0*,23
*04ehg*,30
*02btq*,30
*01ucg*,30
*05u3n*,30
*04afi*,30
*02br2*,30
*05a2d*,30
*01sfq*,30
*05gwz*,30
*041wa*,30
*03nzq*,30
*016gb*,30
*02431*,30
*03ml1*,30
*043ny*,30
*02zod*,30
*01c0q*,30
*02b2k*,30
*026mp*,30
*02ytp*,30
*04pql*,30
*03dj3*,30
*01srp*,30
*02i1m*,30
*01u5n*,30
*000th*,30
*050py*,30
*0410x*,30
*01she*,30
*02i41*,30
*02i6a*,30
*05134*,30
*01uuh*,30
*02bsi*,30
*01sux*,30
*0373v*,30
*02bve*,5
*0316q*,30
*05grk*,30
*0008r*,30
*02n7x*,30
*02bw5*,30
*0003j*,30
*0154u*,30
*02yqz*,30
*03gl9*,30
*04ehi*,30
