ID,Salary
*000dh*,30
*02mwu*,30
*026ke*,30
*031bn*,30
*03des*,30
*01vve*,30
*0264x*,30
*041wr*,30
*025h8*,30
*000d4*,30
*021xl*,30
*02hbg*,30
*05gcy*,30
*027vl*,30
*039w1*,30
*03qyw*,30
*021z9*,30
*0374f*,30
*02ncj*,30
*01uve*,30
*000cd*,30
*025ek*,30
*02hhl*,30
*0150z*,30
*05gbg*,30
*01ucc*,30
*0221b*,30
*02bqg*,30
*04n64*,30
*05rau*,30
*03a1v*,30
*027ri*,30
*01uha*,30
*05js7*,30
