playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,K,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1.1,WAR,-1.2,ADP,playerid,NSB,K%,BB%,SF,SH,TB,wAVG,wOBP,wSLG,wOPS,rR,rRBI,rH,rHR,rK%,rBB%,rNSB,rwAVG,rwOBP,rwSLG,rwOPS,POINTS
17678,Alex Bregman,HOU,141,611,519,139,31,2,25,85,80,78,77,8,2,1,,0.269,0.369,0.479,0.848,0.363,134,,5.1,,87.5,17678,1,0.14836223506743737,0.1276595744680851,0,0,249,0.1479286204437047,0.43736019300774087,0.004631609615980248,0.4419918026237211,7.228915662650603,6.9411764705882355,6.821705426356589,5.365853658536586,8.199852145122932,5.665228100749929,0.29411764705882354,5.515291311274459,5.20815401562428,5.360405973911258,5.195630706773397,61.79633111864709
12161,Xander Bogaerts,BOS,149,640,565,163,34,2,27,91,88,64,116,5,4,1,,0.289,0.363,0.5,0.863,0.367,130,,5.1,,45.5,12161,3,0.20530973451327433,0.1,0,0,282,0.3846447598284064,0.392812824837091,0.007103350575514866,0.3999161754126059,7.951807228915663,7.882352941176471,8.682170542635658,5.853658536585366,6.452737811504376,3.831989680748146,0.8823529411764706,7.93154392503059,4.966589965685904,6.2933187869339084,4.96928438841637,65.69780674880893
17350,Rafael Devers,BOS,150,649,581,163,36,2,37,96,101,58,134,5,5,2,,0.281,0.35,0.542,0.891,0.373,134,,4.9,,14.3,17350,3,0.2306368330464716,0.08936825885978428,0,0,314,0.3056637214503499,0.2392887185761361,0.011894456665952624,0.2511831752420887,8.55421686746988,9.411764705882353,8.682170542635658,8.292682926829269,5.675717972057266,3.1273325519030837,0.8823529411764706,7.125354110875124,4.134085007604002,8.101632980651763,4.169173510974756,68.15648411805961
23667,Wander Franco,TBR,144,622,561,165,34,6,17,81,77,50,63,4,8,3,,0.294,0.354,0.467,0.822,0.351,129,,4.9,,57.5,23667,5,0.11229946524064172,0.08038585209003216,0,0,262,0.443028271220669,0.27167725156212463,0.0035872285792733494,0.275264480141398,6.746987951807229,6.588235294117647,8.837209302325581,3.4146341463414633,9.306235791244333,2.531991028721157,1.4705882352941178,8.527486864825478,4.309716150833085,4.966223708547501,4.2987191664166255,60.99802764047421
19197,Will Smith,LAD,128,514,440,114,23,2,29,75,81,56,108,11,2,1,,0.259,0.355,0.514,0.869,0.367,132,,4.9,,56.0,19197,1,0.24545454545454545,0.10894941634241245,0,0,228,0.051520038075048014,0.22920079318773934,0.00732452193263633,0.23652531512037567,6.024096385542169,7.0588235294117645,4.883720930232558,6.341463414634147,5.221119649189626,4.425144643939384,0.29411764705882354,4.531211857535934,4.079381885683034,6.376795816408336,4.090321384614401,53.32619714425017
15640,Aaron Judge,NYY,145,627,535,147,25,1,38,96,93,81,165,6,4,2,,0.275,0.374,0.54,0.914,0.386,148,,4.9,,35.2,15640,2,0.308411214953271,0.1291866028708134,0,0,288,0.22400308299507232,0.5009436161843628,0.010829561104227725,0.5117731772885905,8.55421686746988,8.470588235294118,7.441860465116279,8.536585365853659,3.2896476662499,5.766437435678258,0.5882352941176471,6.291812588858773,5.552943614701203,7.699707888043693,5.5710204107945644,67.76305583217797
5361,Freddie Freeman,,146,665,567,168,34,3,29,94,95,87,109,7,7,3,,0.297,0.394,0.519,0.913,0.384,143,,4.9,,20.4,5361,4,0.19223985890652556,0.13082706766917293,0,0,295,0.4710393870909435,0.7635743771406689,0.009437143343099419,0.7730115204837683,8.313253012048193,8.705882352941176,9.069767441860465,6.341463414634147,6.85371357397627,5.875165178344118,1.1764705882352942,8.813407090255408,6.977093971058325,7.1741656116874015,6.976355069247321,76.27673730428812
5417,Jose Altuve,HOU,140,630,561,160,29,2,27,90,84,59,90,6,8,3,,0.285,0.356,0.486,0.843,0.36,132,,4.7,,72.2,5417,5,0.16042780748663102,0.09365079365079365,0,0,274,0.3466229964439682,0.32942117311179353,0.005900955173914091,0.3353221282857076,7.831325301204819,7.411764705882353,8.449612403100776,5.853658536585366,7.82968778809203,3.4111730470969426,1.4705882352941178,7.54344117294928,4.622840272900797,5.839496928237163,4.621799972281716,64.88538836362535
18882,Brandon Lowe,TBR,141,595,518,131,28,2,34,83,93,65,162,8,6,2,,0.252,0.343,0.51,0.853,0.361,135,,4.7,,75.5,18882,4,0.3127413127413127,0.1092436974789916,0,0,265,-0.0026586068577638677,0.16625221778182597,0.007827621748602187,0.17407983953042816,6.9879518072289155,8.470588235294118,6.2015503875969,7.560975609756097,3.156802923546965,4.444649191505044,1.1764705882352942,3.978189605783494,3.7380348333801257,6.5666815173081,3.754395233664372,56.036289933299415
12533,Marcus Semien,TEX,150,666,591,154,31,2,34,92,93,64,129,3,10,3,,0.261,0.334,0.492,0.827,0.352,125,,4.7,,39.2,12533,7,0.2182741116751269,0.0960960960960961,0,0,291,0.08401509273975871,0.058602072832519836,0.006630800434694217,0.06523287326721405,8.072289156626505,8.470588235294118,7.984496124031008,7.560975609756097,6.0549986765762025,3.5732443181653113,2.0588235294117645,4.862901369589669,3.1542875536128614,6.114963494698817,3.1688517323306207,61.07641980009298
19755,Shohei Ohtani,LAA,143,600,512,139,26,4,41,102,97,80,170,5,24,7,,0.271,0.373,0.572,0.945,0.392,151,,4.6,,9.6,19755,17,0.33203125,0.13333333333333333,0,0,296,0.1826243791609783,0.48292503744567505,0.0143776025239849,0.49730263996965995,9.27710843373494,8.941176470588236,6.821705426356589,9.268292682926829,2.5649994869218142,6.041277007416962,5.0,5.869444255407353,5.455235466431319,9.03885036122978,5.493175989596663,73.77126558061049
11493,Manny Machado,SDP,152,649,576,158,29,1,33,88,97,63,104,3,11,3,,0.275,0.347,0.502,0.849,0.357,127,,4.6,,22.3,11493,8,0.18055555555555555,0.0970724191063174,0,0,288,0.23416583982627803,0.2050787713613167,0.007324330029513215,0.2124031013908299,7.590361445783133,8.941176470588236,8.294573643410853,7.317073170731708,7.2121808299835815,3.637953659761824,2.3529411764705883,6.395547753770623,3.948577002602832,6.37672338613132,3.9605556596518583,66.02766419888655
13624,Corey Seager,TEX,132,566,499,143,30,2,24,76,77,58,97,5,1,0,,0.286,0.364,0.496,0.86,0.366,135,,4.5,,78.4,13624,1,0.19438877755511022,0.10247349823321555,0,0,249,0.3253681778461859,0.3661692016261986,0.006342981206259257,0.37251218283245785,6.144578313253012,6.588235294117647,7.131782945736434,5.121951219512195,6.787786068655456,3.9959297297235707,0.29411764705882354,7.326485070482854,4.822111362523534,6.006331461473207,4.8218642965499505,59.04117340908668
