playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,K,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1.1,WAR,-1.2,ADP,-1.3,InterSD,InterSK,IntraSD,playerid,NSB,K%,BB%,SF,SH,TB,wAVG,wOBP,wSLG,wOPS,rR,rRBI,rH,rHR,rK%,rBB%,rNSB,rwAVG,rwOBP,rwSLG,rwOPS,POINTS
11493,Manny Machado,SDP,152,649,575,159,29,2,32,90,102,62,105,3,11,3,,0.276,0.345,0.501,0.846,0.356,125,,4.5,,22.3,,2.02,0.82,0.51,11493,8,0.1826086956521739,0.09553158705701079,0,0,288,0.23440264660311017,0.19121902621587195,0.0068805543976313,0.19809958061350325,7.386363636363637,9.195402298850574,8.372093023255815,7.25,6.997595659147125,3.4794251222362904,2.5,6.6348233170616036,3.6199118363948553,6.37004621445701,3.6458163778079133,65.45147748557483
23667,Wander Franco,TBR,144,622,565,165,33,8,18,90,80,48,74,5,8,4,,0.292,0.35,0.471,0.821,0.351,121,,4.5,,57.5,,3.08,-1.56,0.97,23667,4,0.13097345132743363,0.07717041800643087,0,0,268,0.39927913824966965,0.24114813846425887,0.003891829913642453,0.24503996837790132,7.386363636363637,6.666666666666667,8.837209302325581,3.75,8.478899867448765,2.3717626576048634,1.3888888888888888,8.23247357529459,3.874304957174754,5.198792695125929,3.882433357235124,60.0677956041288
14344,Matt Olson,OAK,150,639,547,140,27,1,38,89,100,79,133,9,3,1,,0.256,0.356,0.514,0.87,0.368,139,,4.5,,42.3,,2.01,-1.01,1.18,14344,2,0.24314442413162707,0.12363067292644757,0,0,283,0.0070192321342976705,0.3162707339033566,0.008321802501485731,0.3245925364048423,7.2727272727272725,8.96551724137931,6.89922480620155,8.75,5.260955685386907,5.174540646868283,0.8333333333333334,4.43148209348228,4.257061041436103,6.9348580339847175,4.283441726545807,63.06314188134557
13624,Corey Seager,TEX,132,566,503,145,31,2,24,81,83,54,93,5,2,1,,0.288,0.36,0.505,0.865,0.367,135,,4.4,,78.4,,3.75,-0.16,0.87,13624,1,0.1848906560636183,0.09540636042402827,0,0,252,0.3229050983284021,0.31920526603633204,0.006115490343181429,0.32532075637951346,6.363636363636363,7.011494252873563,7.286821705426356,5.25,6.932131118311581,3.4718706554948318,0.5555555555555556,7.492410493020388,4.272012735021654,6.070224678183391,4.287112535820543,58.99327009334423
14161,Byron Buxton,MIN,122,498,460,124,30,3,29,82,73,28,122,7,16,4,,0.27,0.319,0.537,0.856,0.359,129,,4.4,,53.7,,5.38,-0.96,0.44,14161,12,0.26521739130434785,0.05622489959839357,0,0,247,0.12896633810282054,-0.07558492595939881,0.008885724313013266,-0.06669920164638554,6.4772727272727275,5.862068965517241,5.658914728682171,6.5,4.627729686551281,1.1081958074267273,3.611111111111111,5.613147371507629,2.260522755078455,7.155853783147138,2.3110193938371126,51.18583633013159
12861,Anthony Rendon,LAA,134,577,496,135,30,1,23,77,82,69,87,7,1,1,,0.271,0.366,0.477,0.843,0.361,130,,4.3,,108.2,,4.38,0.02,0.67,12861,0,0.17540322580645162,0.1195840554592721,0,0,236,0.16332761324574507,0.37735572189330213,0.0036045479357403876,0.3809602698290425,5.909090909090909,6.896551724137931,6.511627906976744,5.0,7.204305106247483,4.930422951270322,0.2777777777777778,5.946107513715105,4.568294308518013,5.086209541522854,4.567580044425412,56.89796778368255
18882,Brandon Lowe,TBR,141,595,521,133,27,2,34,91,92,63,164,8,6,2,,0.255,0.342,0.511,0.853,0.361,128,,4.3,,75.5,,2.57,0.24,0.87,18882,4,0.31477927063339733,0.10588235294117647,0,0,266,2.0027576363990107e-05,0.15342721121483494,0.007278203436748398,0.16070541465158333,7.5,8.045977011494253,6.3565891472868215,7.75,3.205905864827197,4.103849134590544,1.3888888888888888,4.363659926369582,3.4273592888906474,6.5258811999230915,3.457319967370927,56.12543042964195
19556,Yordan Alvarez,HOU,144,615,543,153,32,1,39,92,108,61,145,8,1,1,,0.281,0.361,0.558,0.919,0.386,149,,4.2,,27.9,,2.16,-0.47,1.28,19556,0,0.26703499079189685,0.0991869918699187,0,0,304,0.2777236466286026,0.3497519605470567,0.012721243798864912,0.3624732043459216,7.613636363636363,9.885057471264368,7.906976744186046,9.0,4.575586662825465,3.699942383045633,0.2777777777777778,7.054603033299176,4.427650770551608,8.658958442118923,4.474390494840847,67.5745801435462
12916,Francisco Lindor,NYM,147,646,568,145,28,2,26,89,82,64,109,6,14,5,,0.256,0.335,0.451,0.787,0.337,112,,4.2,,53.6,,2.41,-0.95,0.57,12916,9,0.19190140845070422,0.09907120743034056,0,0,255,5.851580614502083e-05,0.05412929005217948,0.0011390312938039937,0.05526832134598347,7.2727272727272725,6.896551724137931,7.286821705426356,5.75,6.731007696699817,3.6929575294474883,2.7777777777777777,4.364032876628497,2.9214278410039403,4.119996342779531,2.9258329531865677,54.739133719815186
12856,George Springer,TOR,134,591,514,136,24,2,35,97,84,66,125,8,6,2,,0.264,0.354,0.522,0.876,0.371,133,,4.2,,59.5,,2.8,-1.6,0.8,12856,4,0.24319066147859922,0.1116751269035533,0,0,269,0.09295953924388645,0.2798526126256973,0.008466512179074681,0.28831912480477195,8.181818181818182,7.126436781609195,6.589147286821706,8.0,5.259629235254905,4.453306092725595,1.3888888888888888,5.264242133892332,4.071507581589359,6.991568419992301,4.100594811658619,61.42713941425108
