ID,Player,Position,Status,Age,ADP,IDFANGRAPHS
*03aaa*,Jarlin Garcia,RP,FA,28,758.2,18282
*04egr*,Bruce Zimmermann,SP,FA,26,758.28,20370
*041sc*,Jordan Balazovic,SP,Scavenge,23,759.35,sa918017
*03aay*,Thairo Estrada,SS,W (Mon),25,761.55,16426
*02mx4*,J.T. Chargois,RP,FA,31,761.78,13767
*03nud*,Kelvin Gutierrez,3B,FA,27,762.28,17468
*03qkr*,Austin Allen,C,W (Mon),27,768.62,18083
*03qnb*,Logan Allen,SP,FA,24,772.01,18555
*03avk*,Luis Rengifo,SS,FA,24,773.46,19858
*04eia*,Jared Oliva,OF,W (Mon),26,775.46,19968
*03pj8*,DJ Stewart,OF,FA,28,783.2,17766
*03qyv*,Jake McCarthy,OF,FA,24,783.54,21622
*03dag*,Jordan Luplow,OF,W (Mon),28,792.78,16424
*031dd*,Tim Mayza,RP,SLG,29,793.46,15042
*03pje*,Taylor Ward,OF,FA,28,794.6,17548
*021iu*,Richard Bleier,RP,FA,34,802.33,7803
*04ek8*,Connor Brogdon,RP,FA,26,804.2,21205
*02nbw*,Tejay Antone,RP,FA,28,805.1,16233
*04coa*,Trevor Richards,RP,FA,28,807.53,19309
*042c1*,Rodolfo Castro,2B,W (Mon),22,810.85,21987
*03ppa*,A.J. Minter,RP,FA,28,810.87,18655
*047sh*,Wandy Peralta,RP,FA,30,812,14295
*0311b*,Trevor Williams,"SP,RP",FA,29,813.01,16977
*02yoi*,Alex Jackson,C,FA,26,818,17276
*03pp9*,Josh Sborz,RP,FA,28,818.77,18323
*025dj*,Anthony Bass,RP,FA,34,830.27,7982
*04afi*,Brendan McKay,SP,sfernand,26,830.67,20186
*04053*,Matt Thaiss,1B,FA,26,832.5,19318
*03dpa*,Jason Vosler,3B,W (Mon),28,833,16686
*04afj*,Corbin Martin,SP,W (Mon),26,834.77,19884
*03vlg*,Jack Mayfield,3B,FA,31,834.8,15402
*03qzx*,Demarcus Evans,RP,W (Mon),25,835.5,21087
*000sw*,Yusmeiro Petit,RP,Scavenge,37,835.9,4020
*03pol*,Jake Woodford,"SP,RP",miche,25,839.43,18674
*02bq7*,Robert Stephenson,RP,FA,28,843.77,13594
*02c5u*,Dillon Peters,SP,FA,29,844.39,18790
*041r6*,Khalil Lee,OF,W (Mon),23,849.73,19952
*03am2*,Luis Cessa,RP,FA,29,850.5,13345
