playerid,Name,Team,GS,G,IP,W,L,SV,HLD,H,ER,HR,K,BB,WHIP,K/9,BB/9,ERA,FIP,-1,WAR,RA9-WAR,-1.1,ADP,playerid,POS,QS,wERA,wWHIP,wK/9,wBB/9,wH/9,wK/BB,RAPP,rIP,rwERA,rwWHIP,rwK/9,rwBB/9,rwH/9,rwK/BB,rSV,rHLD,rQS,rRAPP,POINTS
18684,Sandy Alcantara,MIA,32,32,194.3,13,9,0,0,167,74,18,194,58,1.16,8.98,2.69,3.43,3.41,,4.0,4.2,,42.9,18684,SP,18.0,-0.2853931435804071,-0.0574339607941694,0.12017545247320682,-0.2636513385015422,-0.2532543086459844,1.7268789590116866,0,10.0,8.33726309225043,7.992700157717859,4.81734219771919,8.538604229130517,7.472516093030201,6.37337079365835,0.0,,10.0,0.0,63.531796563506546
19427,Shane Bieber,CLE,23,23,139.0,10,5,0,0,117,48,17,180,33,1.08,11.65,2.14,3.11,2.97,,3.9,4.1,,32.6,19427,SP,13.0,-0.27235328871330483,-0.057219828311094734,0.5447883816602687,-0.2939281867294809,-0.2210502680703722,2.9715501052749675,0,7.0316693505099295,8.147323580042213,7.976755885738648,8.029926126986222,8.91929813105765,7.074687861873198,8.510734809461573,0.0,,7.368421052631579,0.0,63.05881679830101
14765,Julio Urías,LAD,29,32,167.0,13,7,0,0,143,61,20,172,37,1.08,9.27,1.99,3.29,3.44,,3.8,4.0,,37.3,14765,SP,16.0,-0.2809135550263351,-0.06672996754591143,0.16283901510367316,-0.36993904689663926,-0.2306306610165656,2.481538721488853,0,8.534621578099838,8.272013066577173,8.684879400409777,5.1401309454248265,9.875040641903645,7.193037941908169,7.6692814647908465,0.0,,8.947368421052632,0.0,64.3163734601669
13164,Eduardo Rodriguez,DET,29,30,160.7,12,9,0,0,148,62,17,172,49,1.23,9.63,2.74,3.47,3.39,,3.8,4.0,,155.5,13164,SP,13.0,-0.23709491579434305,-0.03644638341107176,0.22732877979238852,-0.21542898332949367,-0.11258846737015316,1.7093527667363433,0,8.196457326892109,7.633747453487425,6.429968351800421,5.628054810668005,7.932267783132051,5.7348197723593675,6.343274608962636,0.0,,7.368421052631579,0.0,55.26701115993359
17995,Logan Webb,SFG,26,27,142.7,9,5,0,0,126,48,10,149,37,1.14,9.4,2.33,3.03,2.94,,3.7,3.9,,68.8,17995,SP,13.0,-0.29227557372918045,-0.047550968089112855,0.16587414353263552,-0.2663631160488768,-0.1615955967531414,1.8565902184763816,0,7.230273752012882,8.437513090320817,7.256814030609158,5.163094459119084,8.572701476237649,6.3402226736114855,6.596112502789053,0.0,,7.368421052631579,0.0,56.9651530373317
9132,Nathan Eovaldi,BOS,27,29,154.3,11,6,0,0,149,64,18,166,37,1.21,9.68,2.16,3.73,3.37,,3.6,3.6,,139.2,9132,SP,13.0,-0.1813075552747745,-0.03903712115223157,0.22923122613950087,-0.31655804039096447,-0.03477604997912165,2.318508677224732,0,7.852925389157273,6.821144540919469,6.622874288250319,5.642448551745855,9.203840538694402,4.773574667104872,7.389324344268642,0.0,,7.368421052631579,0.0,55.67455337277241
13743,Max Fried,ATL,27,27,158.3,14,7,0,0,139,57,15,153,38,1.12,8.7,2.16,3.24,3.32,,3.6,4.3,,72.6,13743,SP,14.0,-0.2778938789748238,-0.056315908506959556,0.04853827494916807,-0.3228286755424075,-0.18401450102022898,1.9003514457731288,0,8.067632850241546,8.228028236830495,7.909450155204054,4.275341638074459,9.282686016446656,6.6171715554796755,6.671259799962494,0.0,,7.894736842105263,0.0,58.94630709434464
15038,Germán Márquez,COL,30,30,173.3,13,8,0,0,169,80,21,176,54,1.29,9.14,2.8,4.15,3.74,,3.6,3.5,,267.7,15038,SP,14.0,-0.11351823710289799,-0.026377818520247676,0.14141343056957656,-0.21684795134747414,-0.020552415334755936,1.5066965006633382,0,8.872785829307569,5.833720205470936,5.680264548087173,4.9780268647008326,7.950109550128668,4.597864932858771,5.995270871604477,0.0,,7.894736842105263,0.0,51.80277964426369
4676,Charlie Morton,ATL,30,30,164.7,12,6,0,0,137,63,17,186,56,1.17,10.17,3.06,3.44,3.53,,3.4,4.0,,95.9,4676,SP,14.0,-0.24760385378606964,-0.04769818190810682,0.3351672262740226,-0.158317808013749,-0.27096582915921286,1.6431140118871115,0,8.411164787976382,7.786821439073778,7.267775549083307,6.443950974704493,7.214165422843024,7.691312950534305,6.229528635585332,0.0,,7.894736842105263,0.0,58.939456601905874
18525,Dylan Cease,CHW,32,32,162.3,12,8,0,0,136,70,20,204,76,1.31,11.31,4.21,3.88,3.81,,3.4,3.0,,84.4,18525,SP,12.0,-0.16025150557189682,-0.021287704476478986,0.5521600067561169,0.06558919398332513,-0.2571785342716385,0.932855742159628,0,8.282340311325818,6.51444052846252,5.3012554339456575,8.085699191553152,4.398811935011509,7.520993480072658,5.009864733035873,0.0,,6.842105263157895,0.0,51.955510876565086
