IDFANGRAPHS,ID,Player,Position,Status,Age,ADP,exit_velo_batting,brl_batting,xAVG_batting,xSLG_batting,xwOBA_batting,xOBP_batting,xISO_batting,xwoba_percentile_batting,xba_percentile_batting,xslg_percentile_batting,xiso_percentile_batting,xobp_percentile_batting,brl_percentile_batting,brl_percent_percentile_batting,exit_velocity_percentile_batting,hard_hit_percent_percentile_batting,k_percent_percentile_batting,bb_percent_percentile_batting,whiff_percent_percentile_batting,sprint_speed_percentile_batting,exit_velo_pitching,brl_pitching,xAVG_pitching,xSLG_pitching,xwOBA_pitching,xERA_pitching,xwoba_percentile_pitching,xba_percentile_pitching,xslg_percentile_pitching,xiso_percentile_pitching,xobp_percentile_pitching,brl_percent_percentile_pitching,exit_velocity_percentile_pitching,hard_hit_percent_percentile_pitching,k_percent_percentile_pitching,bb_percent_percentile_pitching,whiff_percent_percentile_pitching,xera_percentile_pitching,fb_velocity_percentile_pitching,fb_spin_percentile_pitching,curve_spin_percentile_pitching
11737,*01uc9*,Nick Castellanos,OF,La Maqui,29,59.45,89.8,7.5,0.293,0.535,0.374,0.35,0.241,87.0,93.0,91.0,85.0,74.0,78.0,70.0,61.0,79.0,54.0,25.0,15.0,65.0,89.8,7.5,,,,,,,,,,,,,,,,,,,
14168,*02mwk*,Jose Berrios,SP,sfernand,27,59.77,,,,,,,,,,,,,,,,,,,,,,,0.242,0.407,0.311,4.12,49.0,45.0,44.0,43.0,65.0,28.0,57.0,53.0,66.0,85.0,31.0,49.0,62.0,35.0,33.0
17995,*03dbm*,Logan Webb,SP,SLG,25,60.78,,,,,,,,,,,,,,,,,,,,7.0,,,0.23,0.329,0.276,3.2,85.0,60.0,87.0,94.0,79.0,84.0,66.0,48.0,69.0,83.0,70.0,85.0,41.0,4.0,
3548,*01ub8*,Liam Hendriks,RP,CALIXTO,32,61,,,,,,,,,,,,,,,,,,,,,,,0.167,0.316,0.214,1.93,100.0,99.0,91.0,60.0,100.0,18.0,25.0,36.0,99.0,100.0,98.0,100.0,97.0,83.0,18.0
12916,*02611*,Francisco Lindor,SS,Pinstrip,28,61.65,90.7,5.7,0.253,0.452,0.344,0.344,0.198,66.0,51.0,63.0,65.0,68.0,49.0,48.0,75.0,71.0,70.0,78.0,63.0,68.0,90.7,5.7,,,,,,,,,,,,,,,,,,,
18882,*03qjy*,Brandon Lowe,2B,Scavenge,27,62.21,89.3,8.5,0.25,0.5,0.36,0.343,0.25,80.0,46.0,83.0,88.0,67.0,87.0,88.0,48.0,65.0,15.0,78.0,7.0,65.0,89.3,8.5,,,,,,,,,,,,,,,,,,,
17678,*02w7p*,Alex Bregman,3B,Canha Ge,27,63.09,89.0,4.8,0.262,0.421,0.335,0.349,0.159,59.0,65.0,46.0,39.0,74.0,26.0,29.0,43.0,33.0,95.0,77.0,97.0,24.0,89.0,4.8,,,,,,,,,,,,,,,,,,,
14212,*02n96*,Josh Hader,RP,miche,27,64.23,,,,,,,,,,,,,,,,,,,,,,,0.153,0.237,0.228,2.18,99.0,100.0,100.0,97.0,97.0,72.0,78.0,95.0,100.0,20.0,100.0,99.0,89.0,14.0,
14161,*02i2k*,Byron Buxton,OF,miche,28,64.51,,,0.3,0.611,0.407,0.352,0.311,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,
13743,*02i2j*,Max Fried,SP,CALIXTO,27,68.36,,,,,,,,,,,,,,,,,,,,31.0,,,0.234,0.364,0.288,3.5,75.0,55.0,69.0,77.0,76.0,72.0,90.0,82.0,51.0,81.0,36.0,75.0,60.0,18.0,75.0
15711,*02yk4*,Tyler O'Neill,OF,Canha Ge,26,68.58,93.0,10.6,0.279,0.583,0.392,0.347,0.303,93.0,84.0,97.0,97.0,71.0,92.0,97.0,94.0,93.0,4.0,26.0,4.0,98.0,93.0,10.6,,,,,,,,,,,,,,,,,,,
13624,*02mw6*,Corey Seager,SS,CALIXTO,27,69.73,91.0,8.8,0.295,0.53,0.392,0.386,0.235,93.0,95.0,89.0,82.0,97.0,68.0,81.0,80.0,89.0,79.0,84.0,26.0,39.0,91.0,8.8,,,,,,,,,,,,,,,,,,,
12970,*02bqy*,Joe Musgrove,SP,Hit,29,69.87,,,,,,,,,,,,,,,,,,,,42.0,,,0.235,0.386,0.303,3.9,60.0,54.0,56.0,58.0,58.0,58.0,72.0,52.0,73.0,67.0,73.0,60.0,32.0,99.0,88.0
14309,*02yg3*,Frankie Montas,SP,CALIXTO,28,70.77,,,,,,,,,,,,,,,,,,,,,,,0.236,0.402,0.306,3.98,56.0,53.0,46.0,43.0,69.0,36.0,36.0,23.0,70.0,65.0,75.0,56.0,88.0,75.0,
19290,*040b5*,Randy Arozarena,OF,Scavenge,26,71.92,89.9,5.0,0.22,0.366,0.302,0.311,0.146,21.0,8.0,17.0,32.0,31.0,49.0,48.0,64.0,59.0,11.0,57.0,10.0,90.0,89.9,5.0,,,,,,,,,,,,,,,,,,,
9777,*01sy3*,Nolan Arenado,3B,Canha Ge,30,72,89.0,5.2,0.248,0.42,0.311,0.308,0.172,29.0,41.0,44.0,48.0,26.0,60.0,32.0,43.0,31.0,88.0,33.0,86.0,21.0,89.0,5.2,,,,,,,,,,,,,,,,,,,
15676,*02i2e*,Jose Abreu,1B,CALIXTO,34,74.67,92.0,6.7,0.251,0.455,0.348,0.346,0.204,72.0,47.0,67.0,69.0,70.0,78.0,66.0,89.0,89.0,46.0,57.0,29.0,39.0,92.0,6.7,,,,,,,,,,,,,,,,,,,
18525,*03df2*,Dylan Cease,SP,lasmimis,26,75.36,,,,,,,,,,,,,,,,,,,,,,,0.21,0.364,0.295,3.68,69.0,82.0,69.0,54.0,70.0,15.0,39.0,48.0,93.0,32.0,94.0,69.0,92.0,97.0,86.0
13769,*02i3g*,Adalberto Mondesi,3B,99 prob,26,76.18,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,
22286,*04ak5*,Trevor Rogers,SP,CALIXTO,24,76.67,,,,,,,,,,,,,,,,,,,,7.0,,,0.223,0.344,0.284,3.39,78.0,69.0,81.0,84.0,71.0,89.0,74.0,65.0,81.0,47.0,81.0,78.0,71.0,80.0,
4676,*005jn*,Charlie Morton,SP,Canha Ge,38,76.91,,,,,,,,,,,,,,,,,,,,1.0,,,0.216,0.331,0.281,3.32,81.0,78.0,86.0,87.0,71.0,90.0,66.0,90.0,81.0,58.0,71.0,81.0,66.0,64.0,98.0
26410,*04yfw*,Alek Manoah,SP,CALIXTO,24,78.15,,,,,,,,,,,,,,,,,,,,,,,0.199,0.321,0.281,3.32,82.0,89.0,89.0,83.0,70.0,81.0,86.0,93.0,79.0,43.0,75.0,82.0,50.0,57.0,
11739,*025i9*,J.T. Realmuto,C,CALIXTO,30,79.42,89.6,5.6,0.253,0.416,0.329,0.335,0.164,51.0,51.0,43.0,43.0,58.0,49.0,52.0,55.0,72.0,31.0,50.0,33.0,91.0,89.6,5.6,,,,,,,,,,,,,,,,,,,
14162,*02i2q*,Carlos Correa,SS,miche,27,80.04,90.2,6.6,0.296,0.482,0.373,0.38,0.187,87.0,96.0,78.0,58.0,94.0,76.0,60.0,71.0,63.0,72.0,84.0,74.0,48.0,90.2,6.6,,,,,,,,,,,,,,,,,,,
12979,*026mn*,Javier Baez,"2B,SS",Hit,29,86.35,90.1,7.9,0.241,0.455,0.325,0.298,0.214,46.0,30.0,67.0,75.0,14.0,77.0,85.0,67.0,74.0,3.0,6.0,0.0,86.0,90.1,7.9,,,,,,,,,,,,,,,,,,,
19197,*042sz*,Will Smith,C,Pinstrip,26,86.77,90.1,7.0,0.25,0.472,0.364,0.365,0.221,84.0,46.0,77.0,77.0,86.0,63.0,71.0,67.0,70.0,58.0,83.0,74.0,68.0,90.1,7.0,,,,,,,,,,,,,,,,,,,
